Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Sat Dec 18 15:58:30 CET 2021
/usr/scratch4/magr4985/TRPL/BatchJobs/C2704_hzb/Run6
# Thread: 4
985317418074578377 RNG Seed
Run 1
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.DiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
30.00 secs, 3062 evals, 2958 steps, improv/step: 0.327 (last = 0.3266), fitness=-342435128.142140746
60.00 secs, 6190 evals, 6086 steps, improv/step: 0.245 (last = 0.1678), fitness=-354970772.773476541
90.01 secs, 9403 evals, 9299 steps, improv/step: 0.212 (last = 0.1485), fitness=-356346648.234367371
120.01 secs, 12776 evals, 12672 steps, improv/step: 0.188 (last = 0.1210), fitness=-356679884.969110847
150.02 secs, 16262 evals, 16158 steps, improv/step: 0.169 (last = 0.1013), fitness=-356886623.219052196
180.02 secs, 19767 evals, 19663 steps, improv/step: 0.152 (last = 0.0733), fitness=-357022292.004082382
210.03 secs, 23456 evals, 23352 steps, improv/step: 0.141 (last = 0.0832), fitness=-357074894.429781318
240.03 secs, 26953 evals, 26849 steps, improv/step: 0.135 (last = 0.0955), fitness=-357108977.661009908
270.04 secs, 30453 evals, 30350 steps, improv/step: 0.128 (last = 0.0777), fitness=-357122293.112635136
300.04 secs, 34017 evals, 33914 steps, improv/step: 0.121 (last = 0.0586), fitness=-357125704.868927002
330.04 secs, 37549 evals, 37446 steps, improv/step: 0.115 (last = 0.0575), fitness=-357126738.570854187
360.10 secs, 41097 evals, 40994 steps, improv/step: 0.110 (last = 0.0541), fitness=-357127202.805522203
390.11 secs, 44621 evals, 44518 steps, improv/step: 0.106 (last = 0.0556), fitness=-357127460.761117637
420.11 secs, 48114 evals, 48011 steps, improv/step: 0.102 (last = 0.0558), fitness=-357127575.449154377
450.11 secs, 51547 evals, 51444 steps, improv/step: 0.099 (last = 0.0568), fitness=-357127643.734070778
480.12 secs, 55019 evals, 54916 steps, improv/step: 0.096 (last = 0.0602), fitness=-357127712.734139144
510.15 secs, 58518 evals, 58416 steps, improv/step: 0.094 (last = 0.0597), fitness=-357127758.627400219
540.15 secs, 61950 evals, 61848 steps, improv/step: 0.092 (last = 0.0606), fitness=-357127791.229250729
