Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Sat Dec 18 15:58:26 CET 2021
/usr/scratch4/magr4985/TRPL/BatchJobs/C2704_hzb/Run2
# Thread: 4
4777316892417414590 RNG Seed
Run 1
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.DiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
30.01 secs, 3568 evals, 3467 steps, improv/step: 0.331 (last = 0.3305), fitness=-349246913.466590524
60.01 secs, 7158 evals, 7057 steps, improv/step: 0.236 (last = 0.1446), fitness=-355278917.744092524
90.01 secs, 10984 evals, 10883 steps, improv/step: 0.191 (last = 0.1087), fitness=-356590371.919492364
120.04 secs, 14898 evals, 14797 steps, improv/step: 0.171 (last = 0.1150), fitness=-356990838.376455784
150.05 secs, 18771 evals, 18670 steps, improv/step: 0.156 (last = 0.0991), fitness=-357045073.853718460
180.05 secs, 22736 evals, 22636 steps, improv/step: 0.145 (last = 0.0953), fitness=-357065003.259976387
210.08 secs, 26677 evals, 26577 steps, improv/step: 0.137 (last = 0.0898), fitness=-357083486.413882077
240.08 secs, 30630 evals, 30530 steps, improv/step: 0.136 (last = 0.1257), fitness=-357107572.377373457
270.09 secs, 34438 evals, 34338 steps, improv/step: 0.134 (last = 0.1176), fitness=-357117964.838611484
300.09 secs, 38439 evals, 38339 steps, improv/step: 0.132 (last = 0.1165), fitness=-357122186.197014093
330.10 secs, 42463 evals, 42363 steps, improv/step: 0.128 (last = 0.0857), fitness=-357124336.223083496
360.10 secs, 46495 evals, 46395 steps, improv/step: 0.124 (last = 0.0883), fitness=-357124800.396032333
390.10 secs, 50589 evals, 50489 steps, improv/step: 0.121 (last = 0.0899), fitness=-357124946.211223543
420.10 secs, 54659 evals, 54559 steps, improv/step: 0.118 (last = 0.0823), fitness=-357125058.202121139
450.10 secs, 58695 evals, 58595 steps, improv/step: 0.115 (last = 0.0756), fitness=-357125147.717548907
480.11 secs, 62596 evals, 62497 steps, improv/step: 0.114 (last = 0.0894), fitness=-357125404.855452001
510.11 secs, 66532 evals, 66434 steps, improv/step: 0.111 (last = 0.0594), fitness=-357125659.747544229
540.11 secs, 70475 evals, 70377 steps, improv/step: 0.108 (last = 0.0558), fitness=-357125779.226104081
570.12 secs, 74344 evals, 74246 steps, improv/step: 0.106 (last = 0.0731), fitness=-357125900.542992711
600.12 secs, 78334 evals, 78237 steps, improv/step: 0.104 (last = 0.0634), fitness=-357126002.547921956
630.12 secs, 82123 evals, 82026 steps, improv/step: 0.102 (last = 0.0699), fitness=-357126217.582290769
660.13 secs, 86018 evals, 85921 steps, improv/step: 0.100 (last = 0.0596), fitness=-357126412.398807585
690.13 secs, 89909 evals, 89812 steps, improv/step: 0.099 (last = 0.0666), fitness=-357126590.469284534
720.14 secs, 93675 evals, 93578 steps, improv/step: 0.097 (last = 0.0597), fitness=-357126763.450269699
750.14 secs, 97578 evals, 97482 steps, improv/step: 0.096 (last = 0.0715), fitness=-357126979.077357471
780.15 secs, 101573 evals, 101478 steps, improv/step: 0.095 (last = 0.0586), fitness=-357127175.779588044
