Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Sat Dec 18 15:58:36 CET 2021
/usr/scratch4/magr4985/TRPL/BatchJobs/C2704_hzb/Run11
# Thread: 4
90906082354068406 RNG Seed
Run 1
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.DiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
30.02 secs, 3160 evals, 3061 steps, improv/step: 0.336 (last = 0.3355), fitness=-343407226.716679752
60.02 secs, 6230 evals, 6131 steps, improv/step: 0.261 (last = 0.1866), fitness=-355254478.507238388
90.03 secs, 9523 evals, 9424 steps, improv/step: 0.216 (last = 0.1327), fitness=-356384736.158927321
120.03 secs, 12865 evals, 12767 steps, improv/step: 0.181 (last = 0.0832), fitness=-356710584.126851797
150.04 secs, 16252 evals, 16154 steps, improv/step: 0.162 (last = 0.0877), fitness=-356887578.205677867
180.05 secs, 19667 evals, 19569 steps, improv/step: 0.148 (last = 0.0852), fitness=-356943000.258005798
210.05 secs, 23300 evals, 23202 steps, improv/step: 0.143 (last = 0.1145), fitness=-357004433.413136184
240.06 secs, 26962 evals, 26864 steps, improv/step: 0.138 (last = 0.1090), fitness=-357069983.257894337
270.06 secs, 30503 evals, 30405 steps, improv/step: 0.132 (last = 0.0859), fitness=-357105826.883796275
300.07 secs, 34091 evals, 33993 steps, improv/step: 0.127 (last = 0.0850), fitness=-357111062.473402143
330.07 secs, 37576 evals, 37478 steps, improv/step: 0.123 (last = 0.0864), fitness=-357116610.327182055
360.11 secs, 41138 evals, 41040 steps, improv/step: 0.119 (last = 0.0738), fitness=-357120400.347619295
390.12 secs, 44787 evals, 44689 steps, improv/step: 0.115 (last = 0.0652), fitness=-357122393.325923800
420.12 secs, 48447 evals, 48349 steps, improv/step: 0.112 (last = 0.0828), fitness=-357123950.674355865
450.12 secs, 52002 evals, 51904 steps, improv/step: 0.112 (last = 0.1097), fitness=-357124381.248666048
480.13 secs, 55608 evals, 55510 steps, improv/step: 0.110 (last = 0.0837), fitness=-357124577.889312267
510.13 secs, 59042 evals, 58944 steps, improv/step: 0.108 (last = 0.0673), fitness=-357124753.112139344
540.13 secs, 62668 evals, 62570 steps, improv/step: 0.105 (last = 0.0585), fitness=-357125000.848226070
570.13 secs, 66363 evals, 66265 steps, improv/step: 0.102 (last = 0.0503), fitness=-357125192.301085293
600.14 secs, 69861 evals, 69763 steps, improv/step: 0.099 (last = 0.0535), fitness=-357125423.055722535
630.14 secs, 73204 evals, 73106 steps, improv/step: 0.098 (last = 0.0727), fitness=-357125621.135814786
660.15 secs, 76662 evals, 76565 steps, improv/step: 0.097 (last = 0.0749), fitness=-357125769.637570858
690.15 secs, 80108 evals, 80011 steps, improv/step: 0.095 (last = 0.0551), fitness=-357125912.642159104
720.18 secs, 83306 evals, 83210 steps, improv/step: 0.094 (last = 0.0600), fitness=-357126012.067790687
750.20 secs, 86914 evals, 86818 steps, improv/step: 0.093 (last = 0.0707), fitness=-357126158.468354344
780.20 secs, 90610 evals, 90514 steps, improv/step: 0.092 (last = 0.0790), fitness=-357126301.755356133
810.20 secs, 94062 evals, 93966 steps, improv/step: 0.092 (last = 0.0878), fitness=-357126346.976005256
840.24 secs, 97520 evals, 97424 steps, improv/step: 0.092 (last = 0.0954), fitness=-357126437.646106184
870.24 secs, 101048 evals, 100953 steps, improv/step: 0.093 (last = 0.0966), fitness=-357126628.777955949
900.25 secs, 104632 evals, 104537 steps, improv/step: 0.092 (last = 0.0728), fitness=-357126793.112152755
930.26 secs, 108131 evals, 108037 steps, improv/step: 0.091 (last = 0.0614), fitness=-357126902.297082543
960.29 secs, 111618 evals, 111524 steps, improv/step: 0.090 (last = 0.0674), fitness=-357127130.069900215
990.30 secs, 115075 evals, 114981 steps, improv/step: 0.089 (last = 0.0550), fitness=-357127353.537248194
1020.30 secs, 118520 evals, 118426 steps, improv/step: 0.088 (last = 0.0496), fitness=-357127453.328206956
