Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Sat Dec 18 15:58:47 CET 2021
/usr/scratch4/magr4985/TRPL/BatchJobs/C2704_hzb/Run22
# Thread: 4
5628887619045640557 RNG Seed
Run 1
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.DiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
30.01 secs, 2732 evals, 2632 steps, improv/step: 0.324 (last = 0.3245), fitness=-338027841.405273795
60.04 secs, 5696 evals, 5596 steps, improv/step: 0.265 (last = 0.2119), fitness=-353595945.683018923
90.05 secs, 8693 evals, 8593 steps, improv/step: 0.216 (last = 0.1238), fitness=-355889483.553738713
120.05 secs, 11772 evals, 11672 steps, improv/step: 0.187 (last = 0.1059), fitness=-356590425.115682960
150.05 secs, 15016 evals, 14916 steps, improv/step: 0.170 (last = 0.1100), fitness=-356856937.970814347
180.06 secs, 18246 evals, 18146 steps, improv/step: 0.155 (last = 0.0833), fitness=-356956257.820180774
210.06 secs, 21655 evals, 21555 steps, improv/step: 0.143 (last = 0.0836), fitness=-357023494.492898107
240.06 secs, 24933 evals, 24834 steps, improv/step: 0.138 (last = 0.1022), fitness=-357070357.754177928
270.12 secs, 28299 evals, 28200 steps, improv/step: 0.135 (last = 0.1114), fitness=-357095946.108966649
300.12 secs, 31652 evals, 31553 steps, improv/step: 0.127 (last = 0.0653), fitness=-357107367.507767022
330.14 secs, 34988 evals, 34889 steps, improv/step: 0.121 (last = 0.0632), fitness=-357114634.961747885
360.14 secs, 38344 evals, 38245 steps, improv/step: 0.116 (last = 0.0667), fitness=-357118072.850297809
390.14 secs, 41594 evals, 41495 steps, improv/step: 0.113 (last = 0.0757), fitness=-357121074.176881254
420.17 secs, 44946 evals, 44847 steps, improv/step: 0.111 (last = 0.0829), fitness=-357123160.144506097
450.17 secs, 48273 evals, 48176 steps, improv/step: 0.109 (last = 0.0889), fitness=-357124059.592873812
480.18 secs, 51662 evals, 51565 steps, improv/step: 0.106 (last = 0.0620), fitness=-357124225.935789406
510.18 secs, 55064 evals, 54967 steps, improv/step: 0.104 (last = 0.0635), fitness=-357124376.136221230
540.18 secs, 58411 evals, 58314 steps, improv/step: 0.102 (last = 0.0795), fitness=-357124502.214424014
570.19 secs, 61722 evals, 61625 steps, improv/step: 0.101 (last = 0.0734), fitness=-357124605.106150627
600.19 secs, 65103 evals, 65006 steps, improv/step: 0.100 (last = 0.0807), fitness=-357124790.808046699
630.19 secs, 68409 evals, 68312 steps, improv/step: 0.098 (last = 0.0602), fitness=-357124966.141722560
660.20 secs, 71737 evals, 71640 steps, improv/step: 0.096 (last = 0.0601), fitness=-357125065.087450147
690.20 secs, 75052 evals, 74955 steps, improv/step: 0.095 (last = 0.0646), fitness=-357125250.822988212
720.21 secs, 78386 evals, 78289 steps, improv/step: 0.093 (last = 0.0639), fitness=-357125524.458267927
750.21 secs, 81747 evals, 81650 steps, improv/step: 0.092 (last = 0.0640), fitness=-357125627.020560145
780.21 secs, 85039 evals, 84942 steps, improv/step: 0.091 (last = 0.0702), fitness=-357125780.264673531
810.29 secs, 88341 evals, 88244 steps, improv/step: 0.091 (last = 0.0760), fitness=-357125893.394370496
840.29 secs, 91486 evals, 91389 steps, improv/step: 0.090 (last = 0.0766), fitness=-357126062.363551557
870.29 secs, 94545 evals, 94448 steps, improv/step: 0.090 (last = 0.0722), fitness=-357126141.009776831
900.30 secs, 97750 evals, 97653 steps, improv/step: 0.089 (last = 0.0755), fitness=-357126194.256687343
930.30 secs, 100848 evals, 100751 steps, improv/step: 0.089 (last = 0.0752), fitness=-357126277.374010503
960.30 secs, 104114 evals, 104018 steps, improv/step: 0.088 (last = 0.0661), fitness=-357126396.244329691
990.31 secs, 107314 evals, 107219 steps, improv/step: 0.087 (last = 0.0640), fitness=-357126492.417596459
