Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Sat Dec 18 15:58:42 CET 2021
/usr/scratch4/magr4985/TRPL/BatchJobs/C2704_hzb/Run17
# Thread: 4
7413627027364540969 RNG Seed
Run 1
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.DiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
30.01 secs, 2796 evals, 2696 steps, improv/step: 0.339 (last = 0.3386), fitness=-335328251.882864475
60.01 secs, 5760 evals, 5660 steps, improv/step: 0.272 (last = 0.2105), fitness=-355124480.382005036
90.01 secs, 8672 evals, 8572 steps, improv/step: 0.212 (last = 0.0962), fitness=-356536245.443324804
120.01 secs, 11594 evals, 11494 steps, improv/step: 0.177 (last = 0.0749), fitness=-356851983.398320317
150.02 secs, 14566 evals, 14466 steps, improv/step: 0.155 (last = 0.0680), fitness=-356930950.570071340
180.03 secs, 17746 evals, 17646 steps, improv/step: 0.141 (last = 0.0774), fitness=-356971007.897464216
210.04 secs, 20989 evals, 20889 steps, improv/step: 0.131 (last = 0.0783), fitness=-357046022.929695308
240.04 secs, 24311 evals, 24212 steps, improv/step: 0.123 (last = 0.0755), fitness=-357075812.502903223
270.04 secs, 27654 evals, 27555 steps, improv/step: 0.120 (last = 0.0981), fitness=-357099134.700106502
300.05 secs, 31164 evals, 31065 steps, improv/step: 0.117 (last = 0.0934), fitness=-357121592.782573700
330.06 secs, 34541 evals, 34442 steps, improv/step: 0.115 (last = 0.0927), fitness=-357125101.168619096
360.06 secs, 37838 evals, 37739 steps, improv/step: 0.109 (last = 0.0525), fitness=-357126038.398383737
390.08 secs, 41107 evals, 41008 steps, improv/step: 0.107 (last = 0.0737), fitness=-357126582.710927069
420.10 secs, 44478 evals, 44382 steps, improv/step: 0.104 (last = 0.0694), fitness=-357126834.223752320
450.10 secs, 47882 evals, 47786 steps, improv/step: 0.101 (last = 0.0620), fitness=-357126985.522512674
480.15 secs, 51270 evals, 51174 steps, improv/step: 0.098 (last = 0.0531), fitness=-357127056.615015745
510.18 secs, 54654 evals, 54558 steps, improv/step: 0.095 (last = 0.0553), fitness=-357127170.575071394
540.18 secs, 58085 evals, 57989 steps, improv/step: 0.093 (last = 0.0583), fitness=-357127292.657841444
570.20 secs, 61535 evals, 61439 steps, improv/step: 0.092 (last = 0.0725), fitness=-357127362.122762680
600.27 secs, 64962 evals, 64866 steps, improv/step: 0.092 (last = 0.0919), fitness=-357127439.036302447
630.27 secs, 68334 evals, 68238 steps, improv/step: 0.091 (last = 0.0738), fitness=-357127526.340718448
