Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Sat Dec 18 15:58:32 CET 2021
/usr/scratch4/magr4985/TRPL/BatchJobs/C2704_hzb/Run8
# Thread: 4
1587385679651822237 RNG Seed
Run 1
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.DiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
30.01 secs, 3036 evals, 2942 steps, improv/step: 0.307 (last = 0.3069), fitness=-343869403.322338045
60.01 secs, 6503 evals, 6409 steps, improv/step: 0.230 (last = 0.1641), fitness=-355254487.537425399
90.01 secs, 10036 evals, 9942 steps, improv/step: 0.186 (last = 0.1056), fitness=-356691552.260705292
120.02 secs, 13671 evals, 13577 steps, improv/step: 0.159 (last = 0.0867), fitness=-356908993.081503212
150.02 secs, 17243 evals, 17149 steps, improv/step: 0.139 (last = 0.0627), fitness=-356992631.743214726
180.02 secs, 20829 evals, 20735 steps, improv/step: 0.125 (last = 0.0569), fitness=-357016741.593207359
210.05 secs, 24571 evals, 24478 steps, improv/step: 0.114 (last = 0.0526), fitness=-357035843.327158451
240.06 secs, 28299 evals, 28206 steps, improv/step: 0.109 (last = 0.0791), fitness=-357085993.044616461
270.06 secs, 32025 evals, 31932 steps, improv/step: 0.105 (last = 0.0722), fitness=-357108689.687047660
300.06 secs, 35749 evals, 35656 steps, improv/step: 0.103 (last = 0.0859), fitness=-357118811.246187210
330.06 secs, 39555 evals, 39463 steps, improv/step: 0.102 (last = 0.0935), fitness=-357125330.846686125
360.11 secs, 43200 evals, 43108 steps, improv/step: 0.102 (last = 0.0968), fitness=-357127003.418801069
390.11 secs, 46727 evals, 46635 steps, improv/step: 0.101 (last = 0.0944), fitness=-357127287.489481151
420.11 secs, 50453 evals, 50361 steps, improv/step: 0.100 (last = 0.0808), fitness=-357127415.982634068
450.12 secs, 53999 evals, 53908 steps, improv/step: 0.098 (last = 0.0691), fitness=-357127479.919317603
480.12 secs, 57556 evals, 57465 steps, improv/step: 0.096 (last = 0.0745), fitness=-357127548.197873354
510.12 secs, 61081 evals, 60990 steps, improv/step: 0.095 (last = 0.0757), fitness=-357127600.058992624
540.18 secs, 64625 evals, 64535 steps, improv/step: 0.093 (last = 0.0683), fitness=-357127642.317748547
570.22 secs, 68243 evals, 68155 steps, improv/step: 0.092 (last = 0.0740), fitness=-357127700.348718464
600.24 secs, 71882 evals, 71794 steps, improv/step: 0.092 (last = 0.0800), fitness=-357127757.232081890
630.24 secs, 75493 evals, 75405 steps, improv/step: 0.091 (last = 0.0792), fitness=-357127802.572928488
660.25 secs, 79265 evals, 79177 steps, improv/step: 0.090 (last = 0.0673), fitness=-357127856.974149644
690.25 secs, 82901 evals, 82813 steps, improv/step: 0.089 (last = 0.0550), fitness=-357127882.660935879
720.26 secs, 86521 evals, 86433 steps, improv/step: 0.087 (last = 0.0630), fitness=-357127925.801909924
750.26 secs, 90062 evals, 89974 steps, improv/step: 0.086 (last = 0.0559), fitness=-357127962.729050040
