Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Sat Dec 18 15:58:25 CET 2021
/usr/scratch4/magr4985/TRPL/BatchJobs/C2704_hzb/Run1
# Thread: 4
3060754027929001375 RNG Seed
Run 1
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.DiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
30.00 secs, 2665 evals, 2578 steps, improv/step: 0.329 (last = 0.3285), fitness=-334957382.189002156
60.00 secs, 5414 evals, 5327 steps, improv/step: 0.274 (last = 0.2219), fitness=-354602446.364752471
90.01 secs, 8358 evals, 8271 steps, improv/step: 0.231 (last = 0.1549), fitness=-356462712.038957000
120.02 secs, 11244 evals, 11157 steps, improv/step: 0.197 (last = 0.1001), fitness=-356779233.972830296
150.03 secs, 14197 evals, 14110 steps, improv/step: 0.177 (last = 0.1002), fitness=-356878066.738608479
180.03 secs, 17208 evals, 17121 steps, improv/step: 0.162 (last = 0.0943), fitness=-356964838.059810579
210.03 secs, 20269 evals, 20182 steps, improv/step: 0.148 (last = 0.0647), fitness=-357015397.738779485
240.03 secs, 23439 evals, 23352 steps, improv/step: 0.138 (last = 0.0776), fitness=-357061897.423087180
270.04 secs, 26660 evals, 26573 steps, improv/step: 0.132 (last = 0.0869), fitness=-357100926.701277018
300.04 secs, 29841 evals, 29754 steps, improv/step: 0.127 (last = 0.0868), fitness=-357108188.257936776
330.04 secs, 32992 evals, 32905 steps, improv/step: 0.123 (last = 0.0812), fitness=-357113900.086370945
360.04 secs, 36058 evals, 35972 steps, improv/step: 0.121 (last = 0.1030), fitness=-357118531.432383835
390.05 secs, 39185 evals, 39099 steps, improv/step: 0.119 (last = 0.0959), fitness=-357121591.078866243
420.05 secs, 42299 evals, 42213 steps, improv/step: 0.117 (last = 0.0883), fitness=-357124253.562187791
450.06 secs, 45400 evals, 45314 steps, improv/step: 0.114 (last = 0.0816), fitness=-357124780.837640345
480.06 secs, 48573 evals, 48488 steps, improv/step: 0.112 (last = 0.0797), fitness=-357124887.999642611
510.06 secs, 51524 evals, 51439 steps, improv/step: 0.110 (last = 0.0746), fitness=-357124973.835395634
540.07 secs, 54567 evals, 54483 steps, improv/step: 0.108 (last = 0.0752), fitness=-357125068.839835048
570.07 secs, 57689 evals, 57605 steps, improv/step: 0.106 (last = 0.0685), fitness=-357125166.486194909
600.08 secs, 60818 evals, 60734 steps, improv/step: 0.104 (last = 0.0729), fitness=-357125323.083205283
630.08 secs, 63833 evals, 63749 steps, improv/step: 0.102 (last = 0.0660), fitness=-357125567.278507173
660.09 secs, 66944 evals, 66860 steps, improv/step: 0.101 (last = 0.0630), fitness=-357125729.525588274
690.11 secs, 70040 evals, 69957 steps, improv/step: 0.099 (last = 0.0610), fitness=-357125843.987997293
720.11 secs, 73017 evals, 72934 steps, improv/step: 0.097 (last = 0.0615), fitness=-357125974.749867618
750.11 secs, 76059 evals, 75977 steps, improv/step: 0.097 (last = 0.0789), fitness=-357126087.424064279
780.11 secs, 79065 evals, 78983 steps, improv/step: 0.095 (last = 0.0595), fitness=-357126300.956563771
810.12 secs, 82110 evals, 82028 steps, improv/step: 0.094 (last = 0.0535), fitness=-357126435.338097334
840.12 secs, 85128 evals, 85046 steps, improv/step: 0.093 (last = 0.0739), fitness=-357126591.449925482
